"mean" "sd" "0.025quant" "0.5quant" "0.975quant" "mode" "kld"
"intercept" -1.6263929551297 0.298699307219852 -2.21396904399804 -1.62601436230969 -1.04149469798591 -1.62523226707179 9.96180978500864e-07
"AI" 0.000394220788495572 0.000148431118086812 0.000103454808113378 0.000393990524514986 0.000685996971573289 0.000393542488779732 1.01801906758896e-06
"Elevation" -0.000870673459456521 0.00079381899494706 -0.0024325838438276 -0.000869538961972441 0.000683406070792944 -0.000867204772714412 1.0131261995036e-06
"EVI_mean_2015" -6.85568136863515 2.99216283210634 -12.7445241075997 -6.85089608726624 -0.999185906757048 -6.84108430472203 1.02342584368186e-06
"FrankenPop_2015" -0.00178506082600708 0.000822845287121598 -0.00345684374330307 -0.00176505257775287 -0.000225430280187947 -0.00172535920963349 6.90237336875598e-07
"Friction" -0.000362037838039272 0.000574504432110064 -0.00148944730466599 -0.000362245367500133 0.000765502270136374 -0.000362613478658367 6.12344640768086e-07
"LST_Day_mean_2015" -0.616773548776078 0.12681366785189 -0.866891454044075 -0.616387112620046 -0.369045219463196 -0.615606409596018 9.34794972289374e-07
"LST_night_mean_2015" 0.31030774410485 0.118368873609771 0.078168399016221 0.31021401432935 0.542755466977491 0.31003617735742 8.68584969921412e-07
"PET" 0.00320961642372887 0.00232728938915507 -0.00135363103877343 0.00320745816365369 0.00778066983084086 0.0032033313500586 9.14606499415033e-07
"Stable_Lights_2010" 0.291376542841151 0.162888890546675 -0.0282522227204052 0.291309081286019 0.611089944820256 0.291187442692912 6.5710151606101e-07
"TCB_mean_2015" 15.3671424986401 3.34147370521572 8.82643947115796 15.3602570255972 21.9400181654327 15.3467798439056 1.02415300555638e-06
